problem name,setup time,solve time,run time,status,primal residual,primal ratio,prim_normalized,dual residual,dual ratio,dual_normalized,duality gap,duality gap ratio,duality_gap_normalized,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI,negate_K
AUG2DCQP_Maros_Meszaros,0.022433061,1.466569411,1.4890024720000001,solved,1.0397068395946911e-05,0.0001557154871599583,1.5682796189673586e-07,1.8189079566965916e-05,0.2743615958491568,2.7436159584915677e-07,-2.0773785412311554,0.15073107521023701,1.5073107926474912e-07,124.02173509229462,34,1700,22,averaged,0.7109781602425503,-1,56.81645300437299,64.96781058090257,-1,-1,1,1,0.32864578973915404,50,-1,6.387299399605147,1,-1,-1,1,0.3099333763679769,0.3032595837651603,-1,0,-1,-1,-1
AUG2DC_Maros_Meszaros,0.021671226,0.054243795,0.075915021,solved,5.313179678445579e-07,0.01493355750499778,1.493355750499778e-08,1.3388268271796733e-09,3.762991019112429e-05,3.7629910191124284e-11,-1.1331527410075068,0.30830879448364895,3.083087935967667e-07,0.020208994757107062,1,50,22,averaged,0.7109781602425503,-1,56.81645300437299,64.96781058090257,-1,-1,1,1,0.32864578973915404,50,-1,6.387299399605147,1,-1,-1,1,0.3099333763679769,0.3032595837651603,-1,0,-1,-1,-1
AUG2DQP_Maros_Meszaros,0.069580718,1.318901947,1.3884826650000002,solved,1.0612235826904308e-06,1.5827784237199858e-05,1.5932245604890704e-08,1.3634960904990553e-08,0.00020782296594658883,2.0782296594658882e-10,0.2973355296999216,0.02246381169585294,2.2463810288617528e-08,108.32477555456907,30,1525,22,averaged,0.7109781602425503,-1,56.81645300437299,64.96781058090257,-1,-1,1,1,0.32864578973915404,50,-1,6.387299399605147,1,-1,-1,1,0.3099333763679769,0.3032595837651603,-1,0,-1,-1,-1
AUG2D_Maros_Meszaros,0.017262266,0.066898411,0.084160677,solved,2.9319431016361364e-07,0.008160942491842814,8.160942491842812e-09,1.3470327075992827e-09,3.856761245780278e-05,3.8567612457802774e-11,-0.5783348376862705,0.17036789627084592,1.703678959964935e-07,0.00954601774914623,1,50,22,averaged,0.7109781602425503,-1,56.81645300437299,64.96781058090257,-1,-1,1,1,0.32864578973915404,50,-1,6.387299399605147,1,-1,-1,1,0.3099333763679769,0.3032595837651603,-1,0,-1,-1,-1
AUG3DCQP_Maros_Meszaros,0.003473284,0.016448781,0.019922065,solved,1.3754142983435358e-06,0.31909066951189463,3.190906695118946e-07,1.981549910268221e-06,0.4597117307128605,4.5971173071286045e-07,-0.0002282186746924708,0.03556699465468957,3.556699132377119e-08,0.7388038069176018,2,100,22,averaged,0.7109781602425503,-1,56.81645300437299,64.96781058090257,-1,-1,1,1,0.32864578973915404,50,-1,6.387299399605147,1,-1,-1,1,0.3099333763679769,0.3032595837651603,-1,0,-1,-1,-1
AUG3DC_Maros_Meszaros,0.003409213,0.058554644,0.061963857000000004,solved,1.5837124944795278e-09,0.0004188520490350077,4.188520490350077e-10,1.339033217639951e-09,0.0003541405456416212,3.5414054564162123e-10,1.5840953437873395e-06,0.0003433930443944192,3.433957553130139e-10,0.0012201309399732974,1,50,22,averaged,0.7109781602425503,-1,56.81645300437299,64.96781058090257,-1,-1,1,1,0.32864578973915404,50,-1,6.387299399605147,1,-1,-1,1,0.3099333763679769,0.3032595837651603,-1,0,-1,-1,-1
AUG3DQP_Maros_Meszaros,0.003698365,0.016483061,0.020181426,solved,2.240570719454255e-08,0.0050421366959303065,5.0421366959303064e-09,3.238374536164501e-07,0.07287574965693774,7.287574965693775e-08,1.3051908354100306e-07,2.6844887631964982e-05,2.684315741132421e-11,0.5481557040590435,2,100,22,averaged,0.7109781602425503,-1,56.81645300437299,64.96781058090257,-1,-1,1,1,0.32864578973915404,50,-1,6.387299399605147,1,-1,-1,1,0.3099333763679769,0.3032595837651603,-1,0,-1,-1,-1
AUG3D_Maros_Meszaros,0.003370873,0.0074422,0.010813073,solved,1.773713176334013e-09,0.00044210119556468535,4.4210119556468534e-10,1.34712951904703e-09,0.00033577445265537033,3.3577445265537027e-10,1.917952204166795e-06,0.0005071055145829634,5.071082800019248e-10,0.0013561933137813884,1,50,22,averaged,0.7109781602425503,-1,56.81645300437299,64.96781058090257,-1,-1,1,1,0.32864578973915404,50,-1,6.387299399605147,1,-1,-1,1,0.3099333763679769,0.3032595837651603,-1,0,-1,-1,-1
CONT-050_Maros_Meszaros,0.005574458,0.456634543,0.462209001,solved,1.705858972991107e-06,0.37907962801964296,3.7907962807438273e-07,8.642149236889885e-10,0.0008630067135400962,8.630067137009401e-10,-3.7096939503527436e-06,0.3890236217737272,3.890236187808276e-07,0.6325299798737571,35,1775,22,averaged,0.7109781602425503,-1,56.81645300437299,64.96781058090257,-1,-1,1,1,0.32864578973915404,50,-1,6.387299399605147,1,-1,-1,1,0.3099333763679769,0.3032595837651603,-1,0,-1,-1,-1
CONT-100_Maros_Meszaros,0.042314095,11.02581535,11.068129445,solved,4.693003581885346e-07,0.10428895759718952,1.0428895761015321e-07,8.395682638712067e-10,0.000839274535736468,8.392745177506068e-10,1.814136972465974e-06,0.18768522248918207,1.8768523069473514e-07,10.686528696089136,172,8625,22,averaged,0.7109781602425503,-1,56.81645300437299,64.96781058090257,-1,-1,1,1,0.32864578973915404,50,-1,6.387299399605147,1,-1,-1,1,0.3099333763679769,0.3032595837651603,-1,0,-1,-1,-1
